"RecipeID","Name","식품대분류","식품상세분류","1회제공량(g)","calories","carbohydrate","protein","fat","sugar","sodium"
"146","콩나물된장찌개","찌개 및 전골류","채소류찌개.전골","300","146.27","18.94","7.69","4.42","0.29","919.07"
"147","콩비지찌개","찌개 및 전골류","채소류찌개.전골","400","275.73","14.27","26.95","12.32","12.98","1156.03"
"148","해물매운탕","찌개 및 전골류","어패류찌개.전골","600","211.37","15.08","29.07","3.86","2.69","2208.53"
"149","햄 김치찌개","찌개 및 전골류","육류찌개.전골","300","93.41","9.52","4.42","4.18","0.12","1335.08"
"150","호박고추장찌개","찌개 및 전골류","채소류찌개.전골","280","115.04","16.69","5.83","2.77","1.58","590.73"
"151","바지락맑은국","국 및 탕류","어패류국.탕","247","46.89","7.76","3.93","0.02","0","359.39"
"152","바지락 미역국","국 및 탕류","어패류국.탕","285","53.5","4.1","8.01","0.56","0","802.28"
"153","북어 무국","국 및 탕류","어패류국.탕","300","56.32","4.32","8.43","0.59","0","717"
"154","소고기 무국","국 및 탕류","육류국.탕","287","46.5","3.42","6.49","0.77","0","226.87"
"155","홍합 배춧국","국 및 탕류","채소류국.탕","240","23.07","2.14","2.01","0.72","0","60.48"
"156","미역 미소국","국 및 탕류","어패류국.탕","245","14.34","2.38","1.12","0.04","0","192.69"
"157","토마토 미소된장국","국 및 탕류","채소류국.탕","196","46.85","5.29","3.43","1.33","0","630.14"
"158","닭곰탕","국 및 탕류","육류국.탕","336","89.36","4.2","17.88","0.12","0","653.52"
"159","소고기 들깨 알토란탕","국 및 탕류","육류국.탕","297","146.42","17.4","7.57","5.17","0","675.68"
"160","코다리 뿌리채소 들깨탕","국 및 탕류","어패류국.탕","347","93.33","3.64","14.75","2.2","0","155.11"
"161","알곤이탕","국 및 탕류","어패류국.탕","100","78","5","10","1.7","1","510"
"162","담양청국장","찌개 및 전골류","채소류찌개.전골","100","86","8","9","2.5","2","479"
"163","해물순두부찌개","찌개 및 전골류","어패류찌개.전골","100","66","3","9","1.6","1","317"
"164","제육자글이찌개","찌개 및 전골류","육류찌개.전골","100","157","10","9","9","5","361"
"165","돼지고기김치찌개","찌개 및 전골류","육류찌개.전골","100","76","5","5","3.8","3","282"
"166","우삼겹된장찌개","찌개 및 전골류","육류찌개.전골","100","69","6","9","1.4","3","517"
"167","햄가득부대찌개","찌개 및 전골류","육류찌개.전골","100","136","9","7","8","2","806"
"168","무청시래기국","국 및 탕류","채소류국.탕","100","45","5","4","1.3","2","531"
"169","대구뽈탕","국 및 탕류","어패류국.탕","100","65","4","10","0.9","1","471"
"170","통오징어찌개","찌개 및 전골류","어패류찌개.전골","100","94","10","9","1.7","5","362"
"171","우렁된장찌개","찌개 및 전골류","어패류찌개.전골","100","61","8","5","1.1","3","563"
"172","밀푀유 나베","찌개 및 전골류","채소류찌개.전골","100","109","9","7","5","4","608"
"173","서울식 불고기 전골","찌개 및 전골류","육류찌개.전골","100","169","14","8","9","3","354"
"174","소고기 샤브샤브","찌개 및 전골류","육류찌개.전골","100","87","8","7","3.3","3","555"
"175","소고기 버섯 잡채","찌개 및 전골류","육류찌개.전골","100","204","38","4","4","4","467"
"176","매콤 밀푀유 나베","찌개 및 전골류","채소류찌개.전골","100","75","5","7","3.2","2","581"
"177","소고기 야끼소바","찌개 및 전골류","육류찌개.전골","100","261","28","8","13","6","819"
"178","우삼겹 순두부찌개","찌개 및 전골류","채소류찌개.전골","100","85","4","6","4.5","1","416"
"179","고깃집 된장찌개","찌개 및 전골류","채소류찌개.전골","100","150","5","10","10","1","407"
"180","자이언트 부대찌개","찌개 및 전골류","육류찌개.전골","100","219","16","14","11","0","972"
"181","돼지고기 고추장찌개","찌개 및 전골류","육류찌개.전골","100","70","7","6","2.2","2","646"
"182","마라탕","국 및 탕류","탕류","100","178","13","9","10","1","857"
"183","구수한 버섯 된장찌개","찌개 및 전골류","채소류찌개.전골","100","74","9","5","1.6","3","698"
"184","햄치즈 순두부찌개","찌개 및 전골류","육류찌개.전골","100","89","4","7","5","1","476"
"185","햄가득 부대전골","찌개 및 전골류","육류찌개.전골","100","208","7","9","16","1","844"
"186","짬뽕 순두부 찌개","찌개 및 전골류","채소류찌개.전골","100","114","8","7","6","1","784"
"187","우삼겹 청국장찌개","찌개 및 전골류","육류찌개.전골","100","116","4","7","8","0","354"
